level_2_text;level_2_index;source;type;comment;country;name;declared_unit;label_score
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/3bb070b3-9e62-4f33-8baf-0ae4179e0c67;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHSZ Version 1, Transportbetonwerk Münster, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/a3b1ecf3-b26f-4c0f-b959-fb5dd2fc54c2;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHZK Version 1, Transportbetonwerk Ahaus, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/f37cce26-ec8b-4daf-8c03-193a733126d5;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHZK Version 1, Transportbetonwerk Bocholt, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/a4ea3725-dc23-4024-ae0c-bf82aa76e13c;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M EcoPact, Rezept Nummer DI3234-BHZK Version 1, Transportbetonwerk Düsseldorf-Rath, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/07ba7069-57a8-45a9-af66-2c51dadda7c0;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234_BHZK Version 1, Transportbetonwerk Kalkar, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/18d987df-548c-4ef9-bb77-4bfa26b40294;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M EcoPact, Rezept Nummer DI3234-BHZK Version 1, Transportbetonwerk Langenfeld, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/e2cfbef6-6379-4603-9c9a-a7d42759dc7d;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHZK Version 1, Transportbetonwerk Mülheim, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/7a57a9ac-9a35-489c-bdbb-d1c20a0b0978;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHZK Version 1, Transportbetonwerk Oberhausen, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/156eabe0-d5ab-4844-b552-c90c812b434b;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHZK Version 1, Transportbetonwerk Tönisvorst, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/b9b3fc56-dada-46da-bfef-b75c6ece7dfb;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHZK Version 1, Transportbetonwerk Wesel, Germany;m3;C
