level_0_index;level_0_text;level_1_index;level_1_text;level_2_index;level_2_text;country;description;source;name;declared_unit;weight [kg];volume density [kg/m3];area density [kg/m2];linear density [kg/m];penrt_a1a3 [MJ];penrt_c3 [MJ];penrt_c4 [MJ];penrt_d [MJ];gwp_a1a3 [kgCo2e];gwp_c3 [kgCo2e];gwp_c4 [kgCo2e];gwp_d [kgCo2e]
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Ready mix concrete with fly-ash (30% pozzolana) ;kg;;2200.0;;;0.67;;;;0.084;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Ready mix concrete with ordinary Portland cement (OPC) ;kg;;2200.0;;;0.87;;;;0.11;;;
1;Mineral building products;1.2;Concrete aggregates;1.2.01;Sand and gravel;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Sand ;kg;;1555.0;;;0.11;;;;0.009;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Shotcrete ;kg;;;;;2.7;;;;0.24;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.08;Natural cut stone;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Stone floor tile ;kg;;;65.0;;0.44;;;;0.056;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.07;Tiles and cladding panels;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Tile adhesive for ceramic/concrete tiles ;kg;;;;;5.0;;;;0.47;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.07;Tiles and cladding panels;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Vitrified ceramic floor tiles ;kg;;;24.0;;8.2;;;;0.68;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.07;Tiles and cladding panels;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Glazed ceramic floor tiles ;kg;;;18.0;;7.8;;;;0.67;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.02;Fired brick;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Honeycomb brick ;kg;;700.0;;;3.5;;;;0.31;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.11;Concrete roof tiles;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Microconcrete roof tile ;kg;;;46.0;;13.0;;;;1.3;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.07;Tiles and cladding panels;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Phosphogypsum ;kg;;;;;1.1;;;;0.056;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.07;Tiles and cladding panels;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Phosphogypsum panel ;kg;;;35.0;;3.7;;;;0.25;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.13;Gypsum plasterboard;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Plasterboard ;kg;;700.0;;;6.8;;;;0.43;;;
1;Mineral building products;1.2;Concrete aggregates;1.2.09;Puzzolan;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;BF slag ;kg;;;;;0.64;;;;0.066;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.03;Screed dry mortar;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Cement floor screed (concrete screed) ;kg;;2200.0;;;1.3;;;;0.18;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.03;Screed dry mortar;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Cement/lime render for external wall finishes ;kg;;2200.0;;;1.5;;;;0.27;;;
1;Mineral building products;1.2;Concrete aggregates;1.2.09;Puzzolan;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;FaLG (fly ash/lime/gypsum) block ;kg;;1760.0;;;0.83;;;;0.2;;;
2;Insulation materials;2.11;Cellulose fibre;2.11.02;Cellulose insulation (panels);IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Cellulose insulation ;kg;;50.0;;;3.6;;;;-1.1;;;
2;Insulation materials;2.9;Expanded cork;2.9.01;Expanded cork;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Cork flooring tile ;kg;;;2.0;;62.0;;;;0.41;;;
2;Insulation materials;2.9;Expanded cork;2.9.01;Expanded cork;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Cork insulation ;kg;;80.0;;;8.3;;;;-1.4;;;
